鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路31~60號,17.63,住,,,1080706,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950825,153.29000000000002,3,2,2,有,有,10400000,67845,坡道平面,0.0,0,,RPTQMLPKQHOFFCB98CA
南屯區,房地(土地+建物)+車位,臺中市南屯區向上路二段391~420號,8.8,住,,,1080718,土地1建物1車位1,十五層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850615,119.52000000000001,3,2,2,有,有,8100000,67771,坡道機械,0.0,0,,RPQRMLTJQHOFFCB09CA
南屯區,房地(土地+建物)+車位,臺中市南屯區五權西路二段631~660號,32.04,商,,,1080604,土地1建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970825,336.77,4,2,3,有,有,21000000,62357,坡道平面,49.72,0,,RPSNMLTJQHOFFCB88CA
北屯區,房地(土地+建物),臺中市北屯區崇德路二段271~300號,7.59,住,,,1080716,土地1建物1車位0,二十三層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870417,95.22,2,1,1,有,無,4980000,52300,,0.0,0,,RPVPMLMJRHOFFBB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十八路301~330號,20.22,住,,,1080716,土地1建物1車位1,十四層，十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970721,182.98000000000002,3,2,2,有,有,10960000,59897,坡道平面,28.79,0,,RPRNMLSKQHOFFBB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德六路91~120號,21.05,商,,,1080714,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970930,177.61,3,2,2,有,有,13360000,75221,坡道平面,0.0,0,,RPTPMLLLQHOFFBB48CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路二段271~300號,8.67,住,,,1080629,土地1建物1車位1,五層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870417,110.5,3,2,2,有,有,7180000,64977,坡道平面,0.0,0,含增建或未登記建物。,RPXPMLOKQHOFFBB09CA
北區,房地(土地+建物),臺中市北區進化北路361~390號,7.36,商,,,1080713,土地1建物1車位0,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830207,77.53,1,0,1,有,有,2960000,38179,,0.0,0,,RPQSMLOKQHOFFBB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區山西路三段211~240號,28.22,住,,,1080706,土地1建物1車位2,十六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031223,246.73,4,2,2,有,有,23500000,95246,坡道平面,49.67,0,,RPXNMLPKQHOFFBB98CA
北屯區,房地(土地+建物),臺中市北屯區敦化路一段571~600號,17.96,住,,,1080612,土地1建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830415,159.84,3,2,2,有,有,6800000,42543,,0.0,0,,RPVOMLNKQHOFFBB68CA
