鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
中山區,房地(土地+建物),臺北市中山區林森北路241~270號,6.29,商,,,1080614,土地2建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710707,75.55,1,1,1,有,有,12500000,165475,,0.0,0,,RPURMLSJQHOFFCA66CA
中山區,房地(土地+建物),臺北市中山區新生北路二段149巷1~30號,18.8,住,,,1080601,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690819,67.47,2,1,1,有,無,10500000,155625,,0.0,0,,RPUNMLMKQHOFFCA38CA
中山區,房地(土地+建物),臺北市中山區龍江路415巷31~60號,26.47,住,,,1080620,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0720107,102.38,3,2,2,有,無,24000000,234421,,0.0,0,,RPQOMLMKQHOFFCA08CA
中山區,房地(土地+建物),臺北市中山區林森北路391~420號,1.97,商,,,1080711,土地1建物1車位0,三層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0710531,19.95,1,0,1,有,有,2720000,136341,,0.0,0,,RPUQMLRJQHOFFCA09CA
中山區,車位,臺北市中山區民權東路三段1~30號,1.08,商,,,1080723,土地0建物0車位1,地下三層,二十層,其他,見使用執照,鋼筋混凝土造,0800325,30.01,0,0,0,有,有,2450000,,坡道平面,30.01,2450000,,RPSOMLNKQHOFFCA38CA
中山區,房地(土地+建物),臺北市中山區新生北路二段91~120號,2.77,商,,,1080719,土地2建物1車位0,十一層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0711224,32.33,1,1,1,有,有,4300000,133003,,0.0,0,,RPVRMLQJQHOFFCA56CA
大同區,房地(土地+建物),臺北市大同區寧夏路31~60號,3.11,商,,,1080617,土地1建物1車位0,十一層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0711224,31.82,0,0,0,無,有,5000000,157134,,0.0,0,,RPOPMLKLQHOFFBA77CA
大同區,土地,雙連段二小段91~120地號,47.0,住,,,1080613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18400000,391489,,0.0,0,含增建或未登記建物。;,RPSOMLLLQHOFFBA18CA
大同區,房地(土地+建物),臺北市大同區蘭州街124巷1~30號,21.88,住,,,1080704,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660201,68.21,3,2,2,有,無,8450000,123882,,0.0,0,,RPOOMLKMQHOFFBA77CA
中正區,房地(土地+建物),臺北市中正區杭州南路一段1~30號,200.18,住,,,1080610,土地2建物2車位0,二層,二十二層,辦公商業大樓,商業用,鋼筋混凝土造,0810921,1290.44,0,0,0,無,有,286800000,222250,,0.0,0,,RPWNMLTKQHOFFBA56CA
中正區,房地(土地+建物),臺北市中正區延平南路61~90號,4.19,商,,,1080706,土地6建物1車位0,八層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0690902,34.89,1,0,1,有,有,6250000,179134,,0.0,0,含增建或未登記建物。;,RPQNMLPKQHOFFBA18CA
中山區,房地(土地+建物),臺北市中山區通北街65巷2弄1~30號,43.2,住,,,1080622,土地2建物1車位0,七層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0831008,163.75,4,2,2,有,有,27680000,169038,,0.0,0,含增建或未登記建物。;,RPXQMLMJQHOFFCA88CA
內湖區,房地(土地+建物),臺北市內湖區內湖路一段217巷61~90號,34.15,住,,,1080622,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0721117,105.61,3,2,2,有,有,16660000,157750,,0.0,0,含增建或未登記建物。;,RPORMLMJQHOFFCA08CA
中山區,房地(土地+建物),臺北市中山區新生北路三段31~60號,5.1,商,,,1080616,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0711209,56.8,2,1,1,有,有,10000000,176056,,0.0,0,含增建或未登記建物。;,RPPRMLMJQHOFFCA18CA
中山區,房地(土地+建物),臺北市中山區新生北路二段91~120號,2.77,商,,,1080722,土地2建物1車位0,十一層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0711224,32.33,1,1,1,有,有,4300000,133003,,0.0,0,,RPQPMLPJQHOFFCA38CA
中山區,房地(土地+建物),臺北市中山區民權西路61~90號,16.42,商,,,1060214,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061031,197.58999999999997,0,0,2,有,有,68712500,347753,,0.0,0,預售屋,RPPNMLQJQHOFFCA18CA
中山區,房地(土地+建物)+車位,臺北市中山區民權西路61~90號,11.66,商,,,1060214,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061031,216.11,0,0,1,有,有,60793500,347505,坡道平面,54.98,4800000,預售屋,SPPNMLQJQHOFFCA28CA
